sample,Season,Place,Date,gc/µL in sample,rerun,conc,Date_Location,index_plot,week,year,amplicon,read_count,segment
barcode22,2023/2024,ARA Chur,2023_12_24 ,19.875 ,no,19.875,2023_12_24 -ARA Chur,"",51,2023,amp4,1716,H1
barcode22,2023/2024,ARA Chur,2023_12_24 ,19.875 ,no,19.875,2023_12_24 -ARA Chur,"",51,2023,amp5,217,H1
barcode22,2023/2024,ARA Chur,2023_12_24 ,19.875 ,no,19.875,2023_12_24 -ARA Chur,"",51,2023,amp6,0,H1
barcode23,2023/2024,ARA Chur,2024_01_21 ,124.13 ,no,124.13,2024_01_21 -ARA Chur,"",03,2024,amp1,10,H1
barcode23,2023/2024,ARA Chur,2024_01_21 ,124.13 ,no,124.13,2024_01_21 -ARA Chur,"",03,2024,amp2,56,H1
barcode23,2023/2024,ARA Chur,2024_01_21 ,124.13 ,no,124.13,2024_01_21 -ARA Chur,"",03,2024,amp3,117,H1
barcode23,2023/2024,ARA Chur,2024_01_21 ,124.13 ,no,124.13,2024_01_21 -ARA Chur,"",03,2024,amp4,45,H1
barcode23,2023/2024,ARA Chur,2024_01_21 ,124.13 ,no,124.13,2024_01_21 -ARA Chur,"",03,2024,amp5,7,H1
barcode23,2023/2024,ARA Chur,2024_01_21 ,124.13 ,no,124.13,2024_01_21 -ARA Chur,"",03,2024,amp6,0,H1
barcode24,2023/2024,ARA Chur,2024_03_09 ,28.925 ,no,28.925,2024_03_09 -ARA Chur,"",10,2024,amp1,8,H1
barcode24,2023/2024,ARA Chur,2024_03_09 ,28.925 ,no,28.925,2024_03_09 -ARA Chur,"",10,2024,amp2,378,H1
barcode24,2023/2024,ARA Chur,2024_03_09 ,28.925 ,no,28.925,2024_03_09 -ARA Chur,"",10,2024,amp3,351,H1
barcode24,2023/2024,ARA Chur,2024_03_09 ,28.925 ,no,28.925,2024_03_09 -ARA Chur,"",10,2024,amp4,136,H1
barcode24,2023/2024,ARA Chur,2024_03_09 ,28.925 ,no,28.925,2024_03_09 -ARA Chur,"",10,2024,amp5,146,H1
barcode24,2023/2024,ARA Chur,2024_03_09 ,28.925 ,no,28.925,2024_03_09 -ARA Chur,"",10,2024,amp6,0,H1
barcode25,2022/2023,CDA Lugano,2022_12_08,14.475,yes,14.475,2022_12_08-CDA Lugano,"",49,,amp1,0,H1
barcode25,2022/2023,CDA Lugano,2022_12_08,14.475,yes,14.475,2022_12_08-CDA Lugano,"",49,,amp2,26,H1
barcode25,2022/2023,CDA Lugano,2022_12_08,14.475,yes,14.475,2022_12_08-CDA Lugano,"",49,,amp3,24,H1
barcode25,2022/2023,CDA Lugano,2022_12_08,14.475,yes,14.475,2022_12_08-CDA Lugano,"",49,,amp4,3,H1
barcode25,2022/2023,CDA Lugano,2022_12_08,14.475,yes,14.475,2022_12_08-CDA Lugano,"",49,,amp5,3,H1
barcode25,2022/2023,CDA Lugano,2022_12_08,14.475,yes,14.475,2022_12_08-CDA Lugano,"",49,,amp6,0,H1
barcode26,2022/2023,CDA Lugano,2022_12_25 ,38.625,yes,38.625,2022_12_25 -CDA Lugano,"",51,,amp1,2,H1
barcode26,2022/2023,CDA Lugano,2022_12_25 ,38.625,yes,38.625,2022_12_25 -CDA Lugano,"",51,,amp2,0,H1
barcode26,2022/2023,CDA Lugano,2022_12_25 ,38.625,yes,38.625,2022_12_25 -CDA Lugano,"",51,,amp3,0,H1
barcode26,2022/2023,CDA Lugano,2022_12_25 ,38.625,yes,38.625,2022_12_25 -CDA Lugano,"",51,,amp4,0,H1
barcode26,2022/2023,CDA Lugano,2022_12_25 ,38.625,yes,38.625,2022_12_25 -CDA Lugano,"",51,,amp5,0,H1
